text,emotion
He makes me feel safe and loved.,love
That surprise made my whole week!,surprise
Today is a beautiful day!,joy
I love spending time with my family.,love
Why does this always happen to me?,sadness
Why does this always happen to me?,sadness
I feel fantastic today!,joy
I'm terrified of failing this exam.,fear
He makes me feel safe and loved.,love
I'm terrified of failing this exam.,fear
I'm nervous but also excited.,fear
That surprise made my whole week!,surprise
This is the worst day ever.,anger
I love spending time with my family.,love
Why does this always happen to me?,sadness
I feel really down and sad right now.,sadness
Everything is going great!,joy
This is the worst day ever.,anger
I love spending time with my family.,love
Today is a beautiful day!,joy
I'm so scared about tomorrow.,fear
They betrayed me again!,anger
He makes me feel safe and loved.,love
I'm so scared about tomorrow.,fear
Everything is going great!,joy
I'm so scared about tomorrow.,fear
I'm incredibly angry about the service.,anger
Why does this always happen to me?,sadness
Today is a beautiful day!,joy
Everything is going great!,joy
I feel really down and sad right now.,sadness
I feel fantastic today!,joy
I can't stop crying.,sadness
They betrayed me again!,anger
I'm incredibly angry about the service.,anger
He makes me feel safe and loved.,love
I'm incredibly angry about the service.,anger
She totally surprised me with the gift!,surprise
She totally surprised me with the gift!,surprise
I love spending time with my family.,love
Why does this always happen to me?,sadness
I can't stop crying.,sadness
I feel really down and sad right now.,sadness
I can't stop crying.,sadness
I love spending time with my family.,love
That surprise made my whole week!,surprise
I'm nervous but also excited.,fear
Why does this always happen to me?,sadness
I'm terrified of failing this exam.,fear
Why does this always happen to me?,sadness
This is the worst day ever.,anger
I'm nervous but also excited.,fear
I can't stop crying.,sadness
This is the worst day ever.,anger
Today is a beautiful day!,joy
I feel really down and sad right now.,sadness
I feel really down and sad right now.,sadness
She totally surprised me with the gift!,surprise
I feel fantastic today!,joy
I'm incredibly angry about the service.,anger
I'm nervous but also excited.,fear
Why does this always happen to me?,sadness
She totally surprised me with the gift!,surprise
Today is a beautiful day!,joy
I feel fantastic today!,joy
I'm nervous but also excited.,fear
I feel really down and sad right now.,sadness
I feel fantastic today!,joy
That surprise made my whole week!,surprise
I feel really down and sad right now.,sadness
This is the worst day ever.,anger
I'm incredibly angry about the service.,anger
I feel really down and sad right now.,sadness
I'm incredibly angry about the service.,anger
I'm terrified of failing this exam.,fear
That surprise made my whole week!,surprise
She totally surprised me with the gift!,surprise
This is the worst day ever.,anger
They betrayed me again!,anger
I feel really down and sad right now.,sadness
Everything is going great!,joy
I'm incredibly angry about the service.,anger
I can't stop crying.,sadness
She totally surprised me with the gift!,surprise
He makes me feel safe and loved.,love
This is the worst day ever.,anger
I feel fantastic today!,joy
Why does this always happen to me?,sadness
I'm so scared about tomorrow.,fear
That surprise made my whole week!,surprise
They betrayed me again!,anger
I'm so scared about tomorrow.,fear
Today is a beautiful day!,joy
She totally surprised me with the gift!,surprise
I'm so scared about tomorrow.,fear
Why does this always happen to me?,sadness
I'm incredibly angry about the service.,anger
I'm nervous but also excited.,fear
This is the worst day ever.,anger
That surprise made my whole week!,surprise
Why does this always happen to me?,sadness
She totally surprised me with the gift!,surprise
I'm incredibly angry about the service.,anger
He makes me feel safe and loved.,love
Everything is going great!,joy
He makes me feel safe and loved.,love
I love spending time with my family.,love
I feel fantastic today!,joy
I feel fantastic today!,joy
That surprise made my whole week!,surprise
I feel really down and sad right now.,sadness
Why does this always happen to me?,sadness
I love spending time with my family.,love
He makes me feel safe and loved.,love
I'm so scared about tomorrow.,fear
Everything is going great!,joy
I'm nervous but also excited.,fear
I'm so scared about tomorrow.,fear
Why does this always happen to me?,sadness
That surprise made my whole week!,surprise
I feel really down and sad right now.,sadness
I'm so scared about tomorrow.,fear
I feel really down and sad right now.,sadness
Why does this always happen to me?,sadness
Today is a beautiful day!,joy
Today is a beautiful day!,joy
I love spending time with my family.,love
I feel really down and sad right now.,sadness
I'm nervous but also excited.,fear
That surprise made my whole week!,surprise
I'm so scared about tomorrow.,fear
Today is a beautiful day!,joy
I'm incredibly angry about the service.,anger
I feel fantastic today!,joy
I'm terrified of failing this exam.,fear
She totally surprised me with the gift!,surprise
I feel really down and sad right now.,sadness
I'm so scared about tomorrow.,fear
He makes me feel safe and loved.,love
I'm terrified of failing this exam.,fear
She totally surprised me with the gift!,surprise
Today is a beautiful day!,joy
They betrayed me again!,anger
I feel fantastic today!,joy
That surprise made my whole week!,surprise
Today is a beautiful day!,joy
This is the worst day ever.,anger
Today is a beautiful day!,joy
I'm nervous but also excited.,fear
She totally surprised me with the gift!,surprise
I'm nervous but also excited.,fear
I'm nervous but also excited.,fear
She totally surprised me with the gift!,surprise
Everything is going great!,joy
Everything is going great!,joy
I'm terrified of failing this exam.,fear
I'm so scared about tomorrow.,fear
She totally surprised me with the gift!,surprise
They betrayed me again!,anger
I love spending time with my family.,love
They betrayed me again!,anger
Today is a beautiful day!,joy
Today is a beautiful day!,joy
Everything is going great!,joy
I feel fantastic today!,joy
I'm so scared about tomorrow.,fear
This is the worst day ever.,anger
I'm nervous but also excited.,fear
She totally surprised me with the gift!,surprise
I can't stop crying.,sadness
I feel really down and sad right now.,sadness
This is the worst day ever.,anger
I feel fantastic today!,joy
I'm nervous but also excited.,fear
I feel fantastic today!,joy
This is the worst day ever.,anger
They betrayed me again!,anger
They betrayed me again!,anger
I feel fantastic today!,joy
She totally surprised me with the gift!,surprise
That surprise made my whole week!,surprise
They betrayed me again!,anger
I'm incredibly angry about the service.,anger
She totally surprised me with the gift!,surprise
Why does this always happen to me?,sadness
He makes me feel safe and loved.,love
I'm nervous but also excited.,fear
I feel really down and sad right now.,sadness
This is the worst day ever.,anger
I can't stop crying.,sadness
Why does this always happen to me?,sadness
I'm so scared about tomorrow.,fear
I'm so scared about tomorrow.,fear
I love spending time with my family.,love
She totally surprised me with the gift!,surprise
I'm terrified of failing this exam.,fear
Everything is going great!,joy
I love spending time with my family.,love
I love spending time with my family.,love
I'm terrified of failing this exam.,fear
